FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2025-02-25,1.4922,2.8665,,,1,-0.49,限制大额申购,开放赎回,,,,
2025-02-24,1.4996,2.8739,,,1,-0.25,限制大额申购,开放赎回,,,,
2025-02-21,1.5034,2.8777,,,1,-0.58,限制大额申购,开放赎回,,,,
2025-02-20,1.5121,2.8864,,,1,-0.34,限制大额申购,开放赎回,,,,
2025-02-19,1.5173,2.8916,,,1,-0.75,限制大额申购,开放赎回,,,,
2025-02-18,1.5287,2.9030,,,1,-0.80,限制大额申购,开放赎回,,,,
2025-02-17,1.5410,2.9153,,,1,-1.01,限制大额申购,开放赎回,,,,
2025-02-14,1.5568,2.9311,,,1,-0.16,限制大额申购,开放赎回,,,,
2025-02-13,1.5593,2.9336,,,1,-0.20,限制大额申购,开放赎回,,,,
2025-02-12,1.5624,2.9367,,,1,-0.44,限制大额申购,开放赎回,,,,
2025-02-11,1.5693,2.9436,,,1,-0.36,限制大额申购,开放赎回,,,,
2025-02-10,1.5750,2.9493,,,1,-0.68,限制大额申购,开放赎回,,,,
2025-02-07,1.5858,2.9601,,,1,1.16,限制大额申购,开放赎回,,,,
2025-02-06,1.5676,2.9419,,,1,0.50,限制大额申购,开放赎回,,,,
2025-02-05,1.5598,2.9341,,,1,-1.89,限制大额申购,开放赎回,,,,
2025-01-27,1.5899,2.9642,,,1,0.77,限制大额申购,开放赎回,,,,
2025-01-24,1.5777,2.9520,,,1,0.75,限制大额申购,开放赎回,,,,
2025-01-23,1.5659,2.9402,,,1,0.37,限制大额申购,开放赎回,,,,
2025-01-22,1.5602,2.9345,,,1,-0.63,限制大额申购,开放赎回,,,,
2025-01-21,1.5701,2.9444,,,1,-1.20,限制大额申购,开放赎回,,,,
2025-01-20,1.5891,2.9634,,,1,-1.16,限制大额申购,开放赎回,,,,
2025-01-17,1.6078,2.9821,,,1,-0.51,限制大额申购,开放赎回,,,,
2025-01-16,1.6160,2.9903,,,1,1.73,限制大额申购,开放赎回,,,,
2025-01-15,1.5885,2.9628,,,1,-0.52,限制大额申购,开放赎回,,,,
2025-01-14,1.5968,2.9711,,,1,1.77,限制大额申购,开放赎回,,,,
2025-01-13,1.5691,2.9434,,,1,-0.14,限制大额申购,开放赎回,,,,
2025-01-10,1.5713,2.9456,,,1,-1.11,限制大额申购,开放赎回,,,,
2025-01-09,1.5889,2.9632,,,1,-1.34,限制大额申购,开放赎回,,,,
2025-01-08,1.6104,2.9847,,,1,-0.90,限制大额申购,开放赎回,,,,
2025-01-07,1.6251,2.9994,,,1,-1.14,限制大额申购,开放赎回,,,,
2025-01-06,1.6439,3.0182,,,1,-0.27,限制大额申购,开放赎回,,,,
2025-01-03,1.6484,3.0227,,,1,0.46,限制大额申购,开放赎回,,,,
2025-01-02,1.6409,3.0152,,,1,-2.49,限制大额申购,开放赎回,,,,
2024-12-31,1.6828,3.0571,,,1,-0.70,限制大额申购,开放赎回,,,,
2024-12-30,1.6947,3.0690,,,1,1.68,限制大额申购,开放赎回,,,,
2024-12-27,1.6667,3.0410,,,1,0.00,限制大额申购,开放赎回,,,,
2024-12-26,1.6667,3.0410,,,1,-0.93,限制大额申购,开放赎回,,,,
2024-12-25,1.6824,3.0567,,,1,0.84,限制大额申购,开放赎回,,,,
2024-12-24,1.6684,3.0427,,,1,0.42,限制大额申购,开放赎回,,,,
2024-12-23,1.6614,3.0357,,,1,-1.00,限制大额申购,开放赎回,,,,
2024-12-20,1.6781,3.0524,,,1,-1.95,限制大额申购,开放赎回,,,,
2024-12-19,1.7114,3.0857,,,1,-2.27,限制大额申购,开放赎回,,,,
2024-12-18,1.7511,3.1254,,,1,0.23,限制大额申购,开放赎回,,,,
2024-12-17,1.7470,3.1213,,,1,0.07,限制大额申购,开放赎回,,,,
2024-12-16,1.7458,3.1201,,,1,0.63,限制大额申购,开放赎回,,,,
2024-12-13,1.7349,3.1092,,,1,-2.71,限制大额申购,开放赎回,,,,
2024-12-12,1.7832,3.1575,,,1,-0.35,限制大额申购,开放赎回,,,,
2024-12-11,1.7895,3.1638,,,1,1.77,限制大额申购,开放赎回,,,,
2024-12-10,1.7584,3.1327,,,1,-0.45,限制大额申购,开放赎回,,,,
2024-12-09,1.7663,3.1406,,,1,-0.45,限制大额申购,开放赎回,,,,
2024-12-06,1.7743,3.1486,,,1,0.58,限制大额申购,开放赎回,,,,
2024-12-05,1.7640,3.1383,,,1,-0.49,限制大额申购,开放赎回,,,,
2024-12-04,1.7726,3.1469,,,1,1.46,限制大额申购,开放赎回,,,,
2024-12-03,1.7471,3.1214,,,1,1.10,限制大额申购,开放赎回,,,,
2024-12-02,1.7281,3.1024,,,1,0.63,限制大额申购,开放赎回,,,,
2024-11-29,1.7172,3.0915,,,1,1.15,限制大额申购,开放赎回,,,,
